from,to,relation,time,duration,timespan
SieWei,FanWei,1,1914,7,3
SieWei,HelWei,1,1915,7,1
SieWei,HelWei,1,1915,7,2
SieWei,HelWei,1,1915,7,3
SieWei,JulWei,1,1919,7,1
SieWei,JulWei,1,1919,7,2
SieWei,JulWei,1,1919,7,3
SieWei,EriWin,1,99,7,99
HelWei,IsrWei,1,1915,7,1
HelWei,IsrWei,1,1915,7,2
HelWei,IsrWei,1,1915,7,3
HelWei,IsrWei,1,1915,7,4
HelWei,LuiWei,1,1915,7,1
HelWei,LuiWei,1,1915,7,2
HelWei,LuiWei,1,1915,7,3
HelWei,LuiWei,1,1915,7,4
HelWei,LydWei,1,1915,7,1
HelWei,LydWei,1,1915,7,2
HelWei,LydWei,1,1915,7,3
HelWei,LydWei,1,1915,7,4
HelWei,ClaWei,1,1915,7,1
HelWei,ClaWei,1,1915,7,2
HelWei,ClaWei,1,1915,7,3
HelWei,OlgWei,1,1915,7,1
HelWei,OlgWei,1,1915,7,2
HelWei,OlgWei,1,1915,7,3
HelWei,OlgWei,1,1915,7,4
HelWei,DavWei,1,1915,7,1
HelWei,DavWei,1,1915,7,2
HelWei,DavWei,1,1915,7,3
HelWei,DavWei,1,1915,7,4
HelWei,PauWei,1,1915,7,1
HelWei,PauWei,1,1915,7,2
HelWei,PauWei,1,1915,7,3
HelWei,FanWei,1,1915,7,1
HelWei,FanWei,1,1915,7,2
HelWei,FanWei,1,1915,7,3
HelWei,FanWei,1,1915,7,4
HelWei,SieWei,1,1915,7,1
HelWei,SieWei,1,1915,7,2
HelWei,SieWei,1,1915,7,3
HelWei,JulWei,1,1919,7,1
HelWei,JulWei,1,1919,7,2
HelWei,JulWei,1,1919,7,3
HelWei,EriWin,1,99,7,99
JulWei,IsrWei,1,1919,7,1
JulWei,IsrWei,1,1919,7,2
JulWei,IsrWei,1,1919,7,3
JulWei,LuiWei,1,1919,7,1
JulWei,LuiWei,2,1919,7,2
JulWei,LuiWei,3,1919,7,3
JulWei,LydWei,1,1919,7,1
JulWei,LydWei,1,1919,7,2
JulWei,LydWei,1,1919,7,3
JulWei,ClaWei,1,1919,7,1
JulWei,ClaWei,1,1919,7,2
JulWei,ClaWei,1,1919,7,3
JulWei,OlgWei,1,1919,7,1
JulWei,OlgWei,1,1919,7,2
JulWei,OlgWei,1,1919,7,3
JulWei,DavWei,1,1919,7,1
JulWei,DavWei,1,1919,7,2
JulWei,DavWei,1,1919,7,3
JulWei,PauWei,1,1919,7,1
JulWei,PauWei,1,1919,7,2
JulWei,PauWei,1,1919,7,3
JulWei,FanWei,1,1919,7,1
JulWei,FanWei,1,1919,7,2
JulWei,FanWei,1,1919,7,3
JulWei,SieWei,1,1919,7,1
JulWei,SieWei,1,1919,7,2
JulWei,SieWei,1,1919,7,3
JulWei,HelWei,1,1919,7,1
JulWei,HelWei,1,1919,7,2
JulWei,HelWei,1,1919,7,3
JulWei,EriWin,1,99,7,6
EriWin,IsrWei,1,99,7,99
EriWin,LuiWei,1,99,7,99
EriWin,LydWei,1,99,7,99
EriWin,ClaWei,1,99,7,99
EriWin,OlgWei,1,99,7,99
EriWin,DavWei,1,99,7,99
EriWin,PauWei,1,99,7,99
EriWin,FanWei,1,99,7,99
EriWin,SieWei,1,99,7,99
EriWin,HelWei,1,99,7,99
EriWin,JulWei,1,99,7,6
IsrWei,Russ,3,1871,6,1
LuiWei,Russ,3,1878,6,1
LydWei,Russ,3,1899,3,1
ClaWei,Russ,3,1902,2,1
OlgWei,Russ,3,1905,1,1
IsrWei,Deu,9,1905,1,1
IsrWei,Deu,9,1905,1,1
IsrWei,Deu,9,1905,1,2
IsrWei,Deu,9,1905,1,3
IsrWei,Deu,9,1905,1,4
LuiWei,Deu,9,1905,1,1
LuiWei,Deu,9,1905,1,2
LuiWei,Deu,9,1905,1,3
LuiWei,Deu,9,1905,1,4
LydWei,Deu,9,1905,1,1
LydWei,Deu,9,1905,1,2
ClaWei,Deu,9,1905,1,1
ClaWei,Deu,9,1905,1,2
ClaWei,Deu,9,1905,1,3
OlgWei,Deu,9,1905,1,1
OlgWei,Deu,9,1905,1,2
DavWei,Linz,3,1908,2,1
IsrWei,Linz,3,1908,2,1
LuiWei,Linz,3,1908,2,1
LydWei,Linz,3,1908,2,1
ClaWei,Linz,3,1908,2,1
OlgWei,Linz,3,1908,2,1
PauWei,Lüb,3,1910,2,1
DavWei,Lüb,3,1910,2,1
IsrWei,Lüb,3,1910,2,1
LuiWei,Lüb,3,1910,2,1
LydWei,Lüb,3,1910,2,1
ClaWei,Lüb,3,1910,2,1
OlgWei,Lüb,3,1910,2,1
FanWei,Lüb,3,1911,2,1
PauWei,HeiStr,3,1913,6,1
PauWei,HeiStr,3,1913,6,2
PauWei,HeiStr,3,1913,6,3
DavWei,HeiStr,3,1913,99,1
IsrWei,HeiStr,3,1913,6,1
IsrWei,HeiStr,3,1913,6,2
IsrWei,HeiStr,3,1913,6,3
IsrWei,HeiStr,3,1913,6,4
LuiWei,HeiStr,3,1913,6,1
LuiWei,HeiStr,3,1913,6,2
LuiWei,HeiStr,3,1913,6,3
LuiWei,HeiStr,3,1913,6,4
LydWei,HeiStr,3,1913,99,1
ClaWei,HeiStr,3,1913,5,1
ClaWei,HeiStr,3,1913,5,2
ClaWei,HeiStr,3,1913,5,3
OlgWei,HeiStr,3,1913,99,1
FanWei,HeiStr,3,1913,99,1
SieWei,HeiStr,3,1914,99,1
HelWei,HeiStr,3,1915,5,1
JulWei,HeiStr,3,1919,5,1
JulWei,HeiStr,3,1919,5,2
JulWei,HeiStr,3,1919,5,3
JulWei,Eng,10,1939,99,99
IsrWei,NAFI,2,99,99,99
IsrWei,WalAst,2,99,99,99
ClaWei,WerkMa,2,1938,1,3
ClaWei,Pol,4,1938,1,3
ClaWei,Eng,9,1939,99,3
ClaWei,Eng,9,1939,99,4
ClaWei,Eng,9,1939,99,5
ClaWei,USA,9,99,6,6
PauWei,KauSch,2,99,99,99
PauWei,Eng,10,1939,99,3
JulWei,Arch,2,99,99,99
JulWei,Eng,10,1939,99,3
JulWei,Neu,9,99,6,6
SieWei,Dach,4,1938,1,3
SieWei,Eng,10,1939,99,3
SieWei,IntLag,4,1939,1,4
IsrWei,Jud,4,99,99,4
LuiWei,Jud,4,99,99,4
IsrWei,Haig,4,99,99,4
LuiWei,Haig,4,99,99,4
IsrWei,There,4,1942,1,4
LuiWei,There,4,1942,1,4
IsrWei,Treb,4,1942,1,4
LuiWei,Treb,4,1942,1,4
LydWei,Arg,9,99,6,6
FanWei,Arg,9,99,6,6
OlgWei,USA,9,99,6,6
DavWei,USA,9,99,6,6
PauWei,USA,9,99,6,6
SieWei,Eng,9,99,6,4
SieWei,Eng,9,99,6,5
SieWei,Eng,9,99,6,6
HelWei,Pal,9,99,6,6
EriWin,Neu,3,99,7,6
